"status_id","created_at","text","favorite_count","retweet_count","tag1","tag2","tag3","tag4","lang","lat","lng","stripped_text","sent_value","sentiment"
"1315374586339430401",2020-10-11,"You can stop now. https://t.co/rzeNfLhnKi",1603,114,"NA",NA,NA,NA,"en",NA,NA,"You can stop now ",-1,"negative"
"1315313547132514315",2020-10-11,"I am so old because all I can think is, who has the time? A billion new people to meet, five billion books to read, five more seasons of Schitt’s Creek to punish myself for not liking - who has the time for this other stuff?? https://t.co/zKGWnasTUv",759,15,"NA",NA,NA,NA,"en",NA,NA,"I am so old because all I can think is who has the time A billion new people to meet five billion books to read five more seasons of Schitts Creek to punish myself for not liking  who has the time for this other stuff ",0,"neutral"
"1312979540118040576",2020-10-05,"I am trying y’all’s Schitt’s Creek again and it’s still not getting good. I do like that the family isn’t as much of a caricature as I first thought. But what they do to these townspeople characters is so bad. The dad trying to get UI and mom selling MLM is pretty good tho.",640,3,"NA",NA,NA,NA,"en",NA,NA,"I am trying yalls Schitts Creek again and its still not getting good I do like that the family isnt as much of a caricature as I first thought But what they do to these townspeople characters is so bad The dad trying to get UI and mom selling MLM is pretty good tho",-2,"negative"
"1313104932430471168",2020-10-05,"All I know is that if the *entire* cast and crew of #LovecraftCountry don’t sweep the Emmys like Schitt’s Creek did, more than a few folks are going to be putting that curse with those break dancing twins on the Emmy Voters 🤷🏾‍♀️",4229,653,"LovecraftCountry",NA,NA,NA,"en",NA,NA,"All I know is that if the entire cast and crew of LovecraftCountry dont sweep the Emmys like Schitts Creek did more than a few folks are going to be putting that curse with those break dancing twins on the Emmy Voters 🤷🏾️",-1,"negative"
"1314336683765178368",2020-10-08,"@hei_diddy Awe, thanks. I think Xanax would be better than what I have. I need more of a quicker acting relief. Thanks again. I'm going to Netflix for Schitt's Creek. It helps.",1,0,"NA",NA,NA,NA,"en",NA,NA,"heididdy Awe thanks I think Xanax would be better than what I have I need more of a quicker acting relief Thanks again Im going to Netflix for Schitts Creek It helps",2,"positive"
"1312979884654751744",2020-10-05,"@amyjuliasegal ❤🧡💛💚💙💜 schitt's creek family (behind and in front of the camera), including the fan community as well... is all together like rainbow to me. a feeling of love,  harmony, respect,  feeling included and worthy.
@danjlevy @SchittsCreek",2,0,"NA",NA,NA,NA,"en",NA,NA,"amyjuliasegal 🧡 schitts creek family behind and in front of the camera including the fan community as well is all together like rainbow to me a feeling of love  harmony respect  feeling included and worthydanjlevy SchittsCreek",6,"positive"
"1315335661898014720",2020-10-11,"@tingtime @LeonieWoolf Adding my thanks for your unconditional love as a mum, which has in turn helped many others find love and acceptance for who they are, especially through Dan's creation of schitt's creek and all the times he has given voice to love and acceptance.  🙌🏽💜 thank youu",15,0,"NA",NA,NA,NA,"en",NA,NA,"tingtime LeonieWoolf Adding my thanks for your unconditional love as a mum which has in turn helped many others find love and acceptance for who they are especially through Dans creation of schitts creek and all the times he has given voice to love and acceptance  🏽 thank youu",11,"positive"
"1314304148376973312",2020-10-08,"@fumeroses it's about a rich family who suddenly loses everything and has to go stay in a town they bought as a joke named schitt's creek it's about how they adjust to a life without money in a town in the middle of nowhere",1,0,"NA",NA,NA,NA,"en",NA,NA,"fumeroses its about a rich family who suddenly loses everything and has to go stay in a town they bought as a joke named schitts creek its about how they adjust to a life without money in a town in the middle of nowhere",4,"positive"
"1314609912421380098",2020-10-09,"I AM SO PROUD OF THEM🥺🥺🥺
EVERYONE WATCH SCHITT'S CREEK RN!!!!
https://t.co/vT5ITaBNjB",2,1,"NA",NA,NA,NA,"en",NA,NA,"I AM SO PROUD OF THEM🥺🥺🥺EVERYONE WATCH SCHITTS CREEK RN",2,"positive"
"1314978590572781568",2020-10-10,"im pretty sure i've said this before but schitt's creek livetweets give me so much serotonin 🥺🥺🥺",5,0,"NA",NA,NA,NA,"en",NA,NA,"im pretty sure ive said this before but schitts creek livetweets give me so much serotonin 🥺🥺🥺",1,"positive"
